BorrowerID,BorrowerName,MembershipType,OverdueFeesAmount
0314,William Randall,Annually,39.49
0315,Marilyn Mclellan,Lifetime,0.6
0316,Shirley Fagnani,Semi-Annually,27.78
0317,Pamela Barnes,Weekly,27.32
0318,Cynthia Dean,Annually,1.24
0319,Jason Dougherty,Semi-Annually,3.42
0320,Brenda Smith,Monthly,6.05
0321,Gerald Kim,Annually,7.7
0322,Thomas Payne,Annually,12.24
0323,Bobby Steere,Semi-Annually,7.99
0324,Barbara Jackson,Weekly,20.92
0325,Kathleen Rodriguez,Semi-Annually,32.85
0326,Stephanie Bradley,Annually,1.05
0327,Jamie Porterfield,Annually,7.51
0328,Courtney Zhou,Monthly,10.34
0329,Peter Miller,Lifetime,11.62
0330,Michael Troilo,Annually,19.84
0331,June Mann,Weekly,31.87
0332,Joan Houchins,Lifetime,42.71
0333,Marilyn Schnitker,Monthly,13.29
0334,Dillon Hall,Semi-Annually,5.58
0335,John Coyt,Semi-Annually,17.55
0336,Lucille Kirkland,Annually,23.28
0337,Rita Rankin,Weekly,21.84
0338,Juanita Austin,Lifetime,16.78
0339,Delores Stamper,Lifetime,23.88
0340,Emanuel Clark,Semi-Annually,9.43
0341,Cathleen Davila,Lifetime,23.13
0342,Herman Lai,Monthly,19.16
0343,Ricky Lowe,Annually,7.46
0344,Sue Huntsberger,Monthly,34.19
0345,Patricia Williams,Annually,0.73
0346,Shirley Kulick,Semi-Annually,5.54
0347,Stacy Johnson,Semi-Annually,3.08
0348,Fernando Brown,Lifetime,21.26
0349,Shira Francis,Monthly,5.4
0350,Patricia Aleo,Lifetime,6.86
0351,Jeremy Clark,Semi-Annually,1.06
0352,Deborah Linn,Monthly,11.85
0353,Sam Camacho,Monthly,1.13
0354,Lucio Hollack,Annually,45.79
0355,Jessie Mathey,Weekly,3.06
0356,Scott Cogan,Lifetime,43.35
0357,Helen Crosby,Semi-Annually,3.25
0358,Joesph Spalla,Monthly,11.27
0359,Laurie Prill,Monthly,13.54
0360,Kathy Rubio,Weekly,14.35
0361,Patrick Heelan,Monthly,0.96
0362,Rose Smith,Lifetime,13.19
0363,Kenneth Worley,Weekly,14.33
0364,Johnathon Preston,Semi-Annually,19.74
0365,Theresa Smith,Semi-Annually,0.19
0366,Annie Bell,Monthly,13.18
0367,William Erwin,Lifetime,1.95
0368,Maria Mcduffie,Semi-Annually,4.91
0369,Tammy Gonzalez,Lifetime,13.25
0370,Patricia Shultz,Semi-Annually,2.96
0371,Teri West,Lifetime,41.47
0372,Andrea Krueger,Monthly,15.95
0373,Lloyd Bankard,Lifetime,56.19
0374,Tanya Hall,Lifetime,21.69
0375,Bryant Woodward,Weekly,12.26
0376,Cameron Thompson,Weekly,17.86
0377,Louella Berger,Lifetime,10.55
0378,Franklyn Duncan,Lifetime,16.25
0379,Hubert William,Weekly,0.81
0380,Christopher Jasso,Weekly,14.38
0381,James Chavez,Annually,15.02
0382,Minnie Streeter,Weekly,18.55
0383,Eugene Chastain,Semi-Annually,33.88
0384,Angle Feliciano,Weekly,10.88
0385,Debra Noonan,Monthly,7.23
0386,Robert Byrd,Lifetime,8.57
0387,Sheree Dalton,Weekly,17.13
0388,Carolyn Ferguson,Semi-Annually,21.25
0389,Henry Torres,Semi-Annually,14.96
0390,Alan Rosado,Lifetime,20.07
0391,Teresa Mcmahan,Weekly,19.79
0392,Mark Mcanally,Lifetime,42.89
0393,Isaac Mascagni,Semi-Annually,43.6
0394,David Ferrari,Annually,17.19
0395,Stephen Stewart,Semi-Annually,5.34
0396,Tracy Maldonado,Annually,19.53
0397,William Reddy,Monthly,14.22
0398,Myrna Bowen,Semi-Annually,1.3
0399,Amy Tapia,Semi-Annually,27.8
0400,Norma Cohen,Weekly,3.79
0401,Oscar Schmitz,Annually,13.59
0402,Gregory Babin,Weekly,52.24
0403,Luis Smith,Lifetime,3.33
0404,Sylvia Gordon,Lifetime,1.07
0405,Elsie Smith,Semi-Annually,1.71
0406,Jason Burlison,Annually,12.62
0407,Jacqueline Hester,Monthly,2.2
0408,Harold Rice,Annually,30.39
0409,Odessa Cokley,Monthly,10.92
0410,Walter Ropp,Weekly,21.15
0411,Eleanor Griffin,Monthly,33.43
0412,Danielle Barker,Monthly,5.31
0413,Robert Gross,Annually,48.48
0414,Verena Contreras,Lifetime,26.59
0415,Marjorie Brockington,Semi-Annually,27.33
0416,Randi Holmes,Monthly,15.32
0417,Andrew Rahman,Monthly,24.0
0418,Francis Broderick,Annually,20.11
0419,Nina Pinnock,Semi-Annually,42.31
0420,Danny Stickles,Annually,19.59
0421,Donald Sansone,Weekly,6.1
0422,Pauline Browning,Monthly,1.03
0423,Erik Mickle,Lifetime,7.0
0424,James Grumet,Annually,31.58
0425,Gary Nastasi,Monthly,11.6
0426,Leah Nelson,Weekly,6.42
0427,James Daniel,Annually,24.33
0428,Doris Haynes,Monthly,27.22
0429,Angela Lau,Lifetime,1.78
0430,Donald Alvarez,Annually,25.3
0431,Joseph Doe,Lifetime,17.32
0432,George Hayes,Monthly,3.64
0433,David Rodriquez,Semi-Annually,21.13
0434,Juana Mcglaughlin,Semi-Annually,9.94
0435,Susan Berard,Semi-Annually,7.18
0436,Terrell Taylor,Annually,2.18
0437,Maria Livingston,Semi-Annually,42.69
0438,Verena Contreras,Lifetime,26.59
0439,Esther Anderson,Lifetime,11.68
0440,Gary Graves,Semi-Annually,4.32
0441,Harry Farley,Semi-Annually,16.15
0442,Rebecca Hicks,Monthly,23.62
0443,Brian Mcdermond,Monthly,3.9
0444,Steven Bake,Semi-Annually,6.12
0445,Dale Edwards,Weekly,16.96
0446,Melinda Yamakawa,Monthly,12.48
0447,Robert Witherspoon,Monthly,6.43
0448,Michael Washington,Annually,3.62
0449,Bobby Schmit,Monthly,5.51
0450,Perry Brantley,Lifetime,18.5
0451,Roberta Hawkins,Semi-Annually,1.02
0452,Christopher Jasso,Weekly,14.38
0453,Zenobia Lewis,Lifetime,10.38
0454,Wendell Cunningham,Annually,19.72
0455,Kevin Schenck,Lifetime,11.41
0456,Ned Jones,Weekly,26.42
0457,Nancy Johnson,Weekly,46.59
0458,Heather Hoffpavir,Semi-Annually,16.13
0459,James Leutwiler,Annually,9.16
0460,June Lichty,Monthly,16.03
0461,Caroyln Gearhart,Lifetime,10.05
0462,Martha Wuertz,Semi-Annually,24.79
0463,Michael Monahan,Monthly,7.37
0464,Victor Jones,Monthly,5.14
0465,Theresa Shubert,Lifetime,16.8
0466,Cathleen Williams,Semi-Annually,20.45
0467,Henrietta Dean,Weekly,12.91
0468,Paula Liggins,Semi-Annually,6.67
0469,Donna Allen,Lifetime,4.89
0470,Jenny Sung,Annually,31.58
0471,Claire Gibson,Semi-Annually,17.94
0472,Bruce Burkhardt,Monthly,71.71
0473,Lori Soden,Weekly,4.63
0474,Marie Bellerose,Monthly,26.19
0475,Maria Ambrose,Semi-Annually,30.22
0476,Diana Shook,Monthly,31.01
0477,Christine Jones,Weekly,28.04
0478,Karan Carney,Lifetime,12.58
0479,Blanca Lockard,Weekly,34.36
0480,Jacob Williamson,Semi-Annually,14.7
0481,Kathryn Kelly,Annually,15.93
0482,Harry Mangual,Lifetime,17.55
0483,Robert Murray,Monthly,28.67
0484,Jason Lovell,Weekly,35.23
0485,James Monaghan,Weekly,20.83
0486,Todd Andrews,Weekly,6.67
0487,Rickie Dodge,Lifetime,4.51
0488,Lucille Morse,Monthly,12.85
0489,Viola Horton,Weekly,0.37
0490,Patrick Clouston,Lifetime,13.18
0491,Andrew Ward,Annually,0.06
0492,Linda Keller,Semi-Annually,4.36
0493,Robin Flint,Semi-Annually,19.79
0494,Dennis Colon,Monthly,6.19
0495,Scott Andrade,Lifetime,19.2
0496,Andrea Keating,Monthly,14.83
0497,Thomas Partridge,Annually,0.25
0498,Marilyn Gall,Semi-Annually,14.05
0499,Antione Bell,Semi-Annually,14.49
0500,Clarence Mueller,Weekly,1.1
0501,Joe Denis,Lifetime,0.79
0502,Freda Mountain,Lifetime,10.05
0503,Anthony Hurd,Weekly,9.47
0504,Raymond Mcelroy,Weekly,47.84
0505,Paul Spraggins,Lifetime,46.59
0506,Karen Bishop,Monthly,2.93
0507,Cathy Green,Monthly,8.86
0508,Tom Webster,Lifetime,13.72
0509,Ernestine Carter,Annually,29.24
0510,Kimberlee Pizzo,Monthly,5.18
0511,Steven Nixon,Semi-Annually,4.1
0512,Nikki Cabrera,Annually,2.83
0513,Hazel Aguilera,Semi-Annually,1.15
0514,Bryan Krug,Monthly,9.09
0515,Michael Bryant,Lifetime,1.73
0516,Keith Bryant,Weekly,36.77
0517,Carla Herrera,Monthly,22.37
0518,Karissa Burmeister,Weekly,19.98
0519,John Amador,Semi-Annually,11.23
0520,Jesus Swift,Monthly,10.45
0521,Aaron Wingate,Monthly,2.43
0522,Melvin Bell,Annually,6.26
0523,John Fischer,Semi-Annually,31.8
0524,Leroy Beech,Lifetime,30.31
0525,Lewis Munoz,Semi-Annually,16.25
0526,Jerry Olinger,Lifetime,3.14
0527,Charles Burke,Semi-Annually,17.16
0528,Helen Scrabeck,Monthly,1.64
0529,Tamela Ornelas,Monthly,10.79
0530,Lawrence Banister,Lifetime,13.64
0531,Raymond Mckenize,Semi-Annually,6.45
0532,Robert Bodin,Weekly,0.77
0533,Alma Rock,Annually,18.48
0534,Maria Huerta,Semi-Annually,0.89
0535,Scott Hawkins,Monthly,25.88
0536,Joseph Saito,Semi-Annually,29.41
0537,Christine Mccall,Lifetime,60.0
0538,Carlos Mcdonald,Lifetime,5.12
0539,John Nagle,Annually,16.53
0540,Megan Paulino,Annually,1.48
0541,Judy Barnett,Lifetime,10.68
0542,George Leach,Semi-Annually,22.85
0543,Lester Smith,Semi-Annually,25.29
0544,Margaret Pilgrim,Weekly,20.71
0545,Wesley Saunders,Lifetime,0.67
0546,Bryan Wilson,Lifetime,42.96
0547,Dusty Simpson,Monthly,7.68
0548,Cody James,Annually,31.33
0549,Dennis Beaver,Lifetime,55.82
0550,Beckie Perez,Annually,2.48
0551,Carmen Perry,Monthly,45.64
0552,Kari Chu,Annually,20.92
0553,Clinton Munoz,Semi-Annually,14.34
0554,Christopher Santos,Lifetime,12.06
0555,Robert Brimer,Annually,11.11
0556,Eddie Knott,Annually,35.53
0557,Catharine Taylor,Monthly,5.14
0558,Anna Cullins,Annually,8.57
0559,Frances Mihelich,Annually,11.28
0560,Rochelle Mckee,Monthly,21.42
0561,Brandon Leung,Lifetime,33.4
0562,Elizabeth Bello,Semi-Annually,13.2
0563,Andrew Otani,Semi-Annually,4.51
0564,Matthew Durant,Weekly,11.58
0565,Michael Parker,Monthly,14.73
0566,Ronda Hennessey,Annually,37.05
0567,Jane Lott,Weekly,7.29
0568,Daniel Wooten,Lifetime,5.48
0569,Sue Ross,Semi-Annually,24.34
0570,Connie Reeser,Annually,41.67
0571,Stephen Chase,Annually,19.99
0572,James Parker,Lifetime,10.97
0573,Michael Snyder,Weekly,25.51
0574,Blake Maille,Annually,28.46
0575,Andrew Alessandroni,Annually,2.83
0576,Ilona Lennon,Semi-Annually,10.41
0577,Catherine Ragland,Weekly,13.73
0578,Victoria Gammon,Semi-Annually,27.97
0579,Lawrence Hardman,Weekly,4.33
0580,Vincent Pecoraro,Lifetime,18.21
0581,Gary Davis,Annually,8.16
0582,Thelma Vrba,Semi-Annually,8.17
0583,Carla Lowe,Semi-Annually,11.47
0584,Faye Miller,Monthly,1.21
0585,Leroy Spicer,Semi-Annually,5.31
0586,Branden Walters,Semi-Annually,10.04
0587,Margie Necaise,Weekly,8.38
0588,Erik Mickle,Lifetime,7.0
0589,Gregory Kerce,Lifetime,20.41
0590,Jennifer Goodale,Monthly,15.35
0591,Lawrence Mcgill,Weekly,12.05
0592,Joseph Bridges,Semi-Annually,8.45
0593,Thomas Butler,Annually,10.53
0594,Joseph Cirino,Lifetime,25.36
0595,Mike Kelley,Monthly,1.08
0596,Mary Rodriguez,Monthly,16.04
0597,Adan Dufilho,Monthly,6.54
0598,Nicholas Munoz,Weekly,2.23
0599,Michael Petaway,Weekly,1.63
0600,Dorothy Kempton,Monthly,14.43
0601,Pete Scruggs,Monthly,5.15
0602,Melissa Thornton,Weekly,2.23
0603,Thomas Morgan,Lifetime,5.66
0604,David Mitchell,Annually,10.31
0605,Evelyn Tomlinson,Lifetime,8.88
0606,Bess Austin,Annually,13.9
0607,Laura Ancona,Lifetime,7.2
0608,Betty Webb,Lifetime,20.74
0609,Kathryn Landaker,Annually,33.32
0610,Brett Rollins,Lifetime,25.23
0611,Zoila Smoot,Monthly,38.96
0612,Eva Duncan,Lifetime,20.62
0613,Mary Rochat,Lifetime,7.97
0614,Phillip Hunter,Semi-Annually,8.73
0615,Felipe Filthaut,Weekly,24.89
0616,Dorothy Serrano,Annually,21.78
0617,Theresa Bickel,Lifetime,45.23
0618,Robin Osterberg,Annually,17.64
0619,James Glaze,Semi-Annually,27.48
0620,Joseph Riggs,Semi-Annually,26.02
0621,Anthony Hubbard,Annually,12.78
0622,Kyle Beckwith,Monthly,7.34
0623,Abel Conley,Semi-Annually,14.27
0624,Margaret Boyd,Semi-Annually,3.44
0625,Mary Aparicio,Monthly,45.04
0626,Deborah Mccorkle,Annually,24.27
0627,Joe Kelso,Weekly,2.85
0628,Mark Kellogg,Semi-Annually,9.52
0629,Levi Jones,Weekly,0.43
0630,Angelo Reed,Weekly,12.48
0631,Joseph Kallenberg,Lifetime,14.38
0632,Joseph Lee,Annually,35.27
0633,Ruth Jolly,Semi-Annually,1.19
0634,William Paul,Semi-Annually,21.84
0635,Tracey Sale,Annually,9.4
0636,Clayton Benson,Semi-Annually,25.99
0637,Joshua Swiger,Monthly,16.94
0638,Cherelle Mcalpine,Annually,15.1
0639,Brittany Maples,Annually,9.39
0640,Evelyn Breit,Lifetime,2.23
0641,Margaretta Roberts,Semi-Annually,12.78
0642,Mary Lukowski,Monthly,7.97
0643,Joanne Zelaya,Weekly,28.73
0644,Florentino Allman,Weekly,17.69
0645,John Moseley,Lifetime,8.61
0646,Margaret Powell,Lifetime,31.41
0647,Alice Santiago,Semi-Annually,10.25
0648,Forrest Spencer,Lifetime,25.07
0649,Dong Aikens,Monthly,28.68
0650,Mayra White,Lifetime,2.04
0651,Brandi Cannon,Weekly,19.5
0652,Antonio Miller,Monthly,9.9
0653,Jane Ramsey,Semi-Annually,21.54
0654,Lisa Patterson,Semi-Annually,29.31
0655,Juana Chan,Lifetime,3.92
0656,Patrick Bailey,Lifetime,16.06
0657,Vicki Cooke,Semi-Annually,17.54
0658,Glenda Chesnut,Annually,25.79
0659,Jerry Lopez,Weekly,7.84
